headline,link,summary,date
"RBI transfers record  ₹2.87 trillion dividend to Centre, raises risk buffer",https://www.livemint.com/economy/rbi-transfers-record-2-87-trillion-dividend-to-centre-raises-risk-buffers-crb-us-iran-11779453498615.html,"RBI's record  ₹2.87 trillion dividend transfer to the government signals a balancing act between public finance support and economic risk preparation. While it eases fiscal pressure, economists warn of persistent deficit risks due to subsidy burdens and lower tax collections.",Captured
Oil jumps 2% as Iran-US peace prospects remain uncertain despite ongoing talks,https://www.livemint.com/economy/brent-crude-wti-donald-trump-iran-us-talks-strait-of-hormuz-oil-prices-crude-volatility-marco-rubio-11779417421006.html,"Crude prices rose nearly 2% after Thursday’s decline as uncertainty over Iran-US negotiations, uranium stockpiles and the Strait of Hormuz blockade kept energy markets volatile.",Captured
"After excise duty cut, BJP-ruled states may cut duty on VAT",https://www.livemint.com/economy/centres-prod-to-make-bjp-ruled-states-reduce-vat-on-diesel-11779362627473.html,"An empowered group of secretaries on the Iran war discussed the need for VAT cuts to soften the blow from costly crude, and the Centre may shortly urge states to reduce the tax. The Centre has already cut excise duty by  ₹10 per litre on diesel to zero and that on petrol to  ₹3 last month.",Captured
India weighs rate hike to steady the rupee,https://www.livemint.com/economy/india-weighs-rate-hike-to-steady-the-rupee-11779346047297.html,"The Reserve Bank of India is considering all of its available options to stabilize the rupee, including an interest rate hike, more currency swaps and raising dollars from investors overseas, according to people familiar with the matter.",Captured
"India factory growth likely slowed in May as manufacturing loses momentum amid Iran war, services stay resilient",https://www.livemint.com/economy/india-manufacturing-growth-slows-may-services-resilient-pmi-data-2026-11779342608539.html,Early PMI data shows manufacturing easing to a multi-month low while services continue to support overall private-sector expansion.,Captured
"Oil prices trade marginally higher as traders await clarity on peace deal, Trump says 'no hurry' on deal with Iran",https://www.livemint.com/economy/oil-prices-trade-marginally-higher-as-traders-await-clarity-on-peace-deal-trump-says-no-hurry-on-deal-with-iran-11779333049901.html,"Oil prices rose marginally on Thursday after a steep selloff, as traders weighed uncertain Iran-US negotiations and continued disruptions in the Strait of Hormuz.",Captured
Melody to ears? India's toffee exports are on a roll,https://www.livemint.com/economy/india-toffee-exports-growth-parle-melody-meloni-11779290276602.html,"Exports of toffees and similar confectionery products grew over 10% in volume and 166% in rupee terms since FY14, reaching as many as 74 countries during the period.",Captured
"India’s core sector growth edges up to 1.7% in April on steel, cement boost",https://www.livemint.com/economy/indias-core-sector-growth-edges-up-to-1-7-in-april-on-steel-cement-boost-11779285870993.html,"Steel production rose 6.2% year-on-year in April, cement output increased 9.4%, while electricity generation expanded 4.1%, supporting the overall index growth.",Captured
"UN agency flags India growth slowdown to 6.4% in FY27 as Iran war fuels global inflation, cost pressures",https://www.livemint.com/economy/india-gdp-growth-fy27-un-report-west-asia-conflict-inflation-global-outlook-11779273184880.html,"A UN report has warned of weaker global growth, rising inflation and tighter financial conditions, even as India remains among the fastest-growing major economies with a gradual recovery expected in FY28.",Captured
"Only 8% of Atal Pension Yojana’s subscribers opt for  ₹5,000 monthly slab; 87% choose minimum sum of  ₹1,000",https://www.livemint.com/economy/atal-pension-yojana-subscribers-5-000-monthly-slab-minimum-1-000-sum-pfrda-persistency-rate-11779267743484.html,"The Atal Pension Yojana, launched in 2015, has over 90 million enrolments, with significant participation from younger age groups. The persistency rate stood at 50.1% as of 31 March.",Captured
Oil prices subdued amid mixed signals from US on Iran war,https://www.livemint.com/economy/brent-crude-wti-donald-trump-iran-war-strait-of-hormuz-india-fuel-prices-petrol-hike-diesel-hike-11779245529819.html,"Brent trades near $111 as Donald Trump sends mixed signals on Iran. With Strait of Hormuz disruption squeezing supplies, India raises petrol and diesel prices for the second time in a week.",Captured
Centre firms up new land-transfer norms to help public asset monetization,https://www.livemint.com/economy/centre-land-transfer-norms-public-asset-monetization-land-valuation-surplus-land-transfer-of-assets-psus-cpses-11779180556695.html,"The Centre has introduced a new framework to streamline the transfer and monetization of public land assets under NMP 2.0, addressing surplus land ownership and procedural delays. This includes standardized valuation and guidelines for various land transactions to enhance infrastructure development.",Captured
"PM SVANidhi Scheme, PM Mudra Yojana may face loan repayment stress amid West Asia war",https://www.livemint.com/economy/pm-svanidhi-mudra-yojana-loan-stress-west-asia-war-11779188978507.html,"Small-ticket loans disbursed under PM SVANidhi and Mudra Yojana may face repayment stress. Street vendors and micro enterprises, vital to urban economies, are struggling with rising costs and reduced foot traffic.",Captured
"Carmakers push for cheaper high-ethanol fuels, tax breaks for flex-fuel vehicles",https://www.livemint.com/economy/flex-fuel-vehicles-ethanol-blending-government-policy-auto-industry-india-11779188076894.html,India's automakers urge the government to lower prices of high-ethanol fuels like E85 and E100 to boost consumer adoption of flex-fuel vehicles. The industry seeks tax benefits as part of a strategy to enhance ethanol blending amid rising energy security concerns.,Captured
Iran war to slow down India’s FY27 economic growth: rating agencies,https://www.livemint.com/economy/west-asia-war-to-slow-down-india-s-fy27-economic-growth-rating-agencies-11779199578097.html,"Two rating agencies have cut their FY27 GDP forecasts as the West Asia war drives crude oil toward $95–110 a barrel, stokes inflation, and forces fuel price hikes. The government's own target of 7–7.4% growth, set before the war began, now looks out of reach.",Captured
India notifies standards for petrol with up to 30% ethanol amid energy crisis,https://www.livemint.com/economy/e30-petrol-standards-vehicle-compatibility-oil-import-reduction-11779182538016.html,"India is currently implementing E20 fuel adoption nationwide, while industry bodies and biofuel manufacturers have increasingly advocated movement towards E22 and higher blends citing surplus ethanol availability and the need to reduce oil import dependence.",Captured
"The mounting stress in the unorganized sector, explained in 5 charts",https://www.livemint.com/economy/unorganized-sector-unincorporated-enterprises-asuse-survey-informal-economy-productivity-decline-wage-stagnation-11779104429323.html,"The set of 79 million individuals and entities that make up India’s unorganized sector is seeing productivity and real wages stagnate in real terms, amid declining economic influence.",Captured
Oil prices fall 2% as Trump delays planned strike on Iran,https://www.livemint.com/economy/crude-oil-prices-brent-wti-donald-trump-iran-strike-strait-of-hormuz-petrol-price-hike-diesel-rates-us-sanctions-11779159552134.html,"Crude prices fell over 2% after US President Donald Trump deferred a planned strike on Iran, easing supply fears. Yet Indian fuel prices were hiked again, reflecting lingering global volatility.",Captured
"Petrol, diesel prices hiked again! Fuel prices increased by 90 paise per litre in 2nd hike in a week",https://www.livemint.com/economy/petrol-diesel-prices-hiked-again-fuel-prices-increased-by-90-paise-per-litre-in-2nd-hike-in-a-week-11779152245186.html,"Petrol and diesel prices were increased by 90 paise per litre on Tuesday, the second increase in less than a week.",Captured
India not looking at a cut in capital gains tax for FPIs: Official,https://www.livemint.com/economy/india-fpis-capital-gains-tax-not-reviewing-government-official-outflows-falling-rupee-11779088953153.html,India will not reduce capital gains tax for foreign portfolio investors to address capital outflows—for now. A senior government functionary called the FPI outflows strategic and not linked to India's attractiveness as an investment destination.,Captured
